Park,PlotID,Date,Observers,GroundCover,VegetationLevels,PastLandUse,Coordinates,Temperature,DensiometerN,DensiometerS,DensiometerE,DensiometerW,Comments,Park size,Established,Park age,Conservation area,Complexity
Cap-Saint-Jacques,AGR2-LOW05,07/28/2022,"LG, AT, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°27.918'N, 073°56.160'W","28°C, Overcast ",2,0,71,0,,,,,,
Cap-Saint-Jacques,AGR2-MED02,07/28/2022,"AT, LG, IR","herbaceous vegetation, bare soil","shrub, overstory, understory",Agricultural,"45°27.757'N, 073°55.345'W","23°C, Sunny ",91,10,61,60,,,,,,
Cap-Saint-Jacques,AGR2-MED04,07/28/2022,"AT, LG, IR","herbaceous vegetation, bare soil","shrub, overstory, understory",Agricultural,"45°27.670'N, 073°55.406'W","23°C, Sunny ",0,91,50,41,,,,,,
Cap-Saint-Jacques,AGR2-MED05,07/28/2022,"AT, LG, IR","dirt path, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°27.653'N, 073°55.809'W","25°C, Sunny ",36,47,55,92,,,,,,
Île-Bizard,AGR3-HIGH01,07/22/2022,"LG, AT, IR","leaf litter, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°30.975'N, 073°52.88'W","25°C, Sunny ",9,95,95,96,,,,,,
Île-Bizard,AGR3-HIGH02,07/22/2022,"LG, AT, IR","herbaceous vegetation, leaf litter","shrub, overstory, understory",Agricultural,"45°30.953'N, 073°52.945'W","25°C, Sunny ",0,68,90,88,,,,,,
Île-Bizard,AGR3-HIGH04,07/21/2022,"EP, AT, LG, IR","bare soil, leaf litter, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°30.976'N, 073°52.745'W","28°C, Sunny ",96,91,96,96,,,,,,
Île-Bizard,AGR3-LOW02,07/21/2022,"EP, AT, LG, GG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°30.994'N, 073°52.852'W","28°C, Sunny ",93,16,91,11,,,,,,
Île-Bizard,AGR3-LOW03,07/21/2022,"LG, AT, EP, GG, IR","herbaceous vegetation,","shrub, overstory",Agricultural,"45°31.115'N, 073°52.947'W","28°C, Sunny ",4,7,0,7,,,,,,
Île-Bizard,AGR3-LOW03,07/21/2022,"EP, LG, AT, GG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°31.095'N, 073°53.012'W","27°C, Sunny ",45,0,16,50,,,,,,
Île-Bizard,AGR3-MED01,07/21/2022,"EP, LG, AT, GG, IR",herbaceous vegetation,"shrub, overstory",Agricultural,"45°31.105'N, 073°52.963'W","27°C, Sunny ",6,37,80,1,,,,,,
Île-Bizard,AGR3-MED05,07/21/2022,"LG, AT, EP, GG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°31.037'N, 073°52.882'W","28°C, Sunny ",90,0,11,14,,,,,,
Île-Bizard,AGR3-MED06,07/21/2022,"LG, AT, EP, GG, IR",herbaceous vegetation,"shrub, overstory",Agricultural,"45°31.000'N, 073°52.903'W","29°C, Sunny ",93,83,72,90,,,,,,
L'Anse-à-l'Orme,AGR4-HIGH03,07/27/2022,"EP, LG, IR","leaf litter, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°27.559'N, 073°54.940'W","25°C, Sunny",94,91,88,81,,,,,,
L'Anse-à-l'Orme,AGR4-HIGH05,07/26/2022,"EP, LG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°27.134'N, 073°55.602'W","23°C, Sunny ",89,92,92,88,,,,,,
L'Anse-à-l'Orme,AGR4-HIGH06,07/26/2022,"EP, LG, IR","herbaceous vegetation, moss, bare soil","shrub, overstory, understory",Agricultural,"45°27.306'N, 073°55.987'W","20°C, Sunny ",95,94,92,93,,,,,,
L'Anse-à-l'Orme,AGR4-LOW01,07/27/2022,"EP, LG, IR","gravel road, herbaceous vegetation","shrub, overstory, understory",Agricultural,"45°27.387'N, 073°55.030W","22°C, Sunny ",3,0,0,55,,,,,,
L'Anse-à-l'Orme,AGR4-LOW02,07/26/2022,"EP, LG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°26.980'N, 073°55.275'W","24°C, Sunny ",3,9,5,0,,,,,,
L'Anse-à-l'Orme,AGR4-LOW05,07/26/2022,"EP, LG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°26.990'N, 073°55.363'W","24°C, Sunny ",0,0,2,0,,,,,,
L'Anse-à-l'Orme,AGR4-MED02,07/27/2022,"EP, LG, IR","herbaceous vegetation, bare soil","shrub, overstory, understory",Agricultural,"45°27.185'N, 073°54.739'W","25°C, Sunny ",8,2,0,0,,,,,,
L'Anse-à-l'Orme,AGR4-MED05,07/26/2022,"EP, LG, IR","herbaceous vegetation, bare soil","shrub, overstory, understory",Agricultural,"45°27.115'N, 073°55.391'W","24°C, Sunny ",78,83,91,90,,,,,,
L'Anse-à-l'Orme,AGR4-MED06,07/27/2022,"EP, LG, IR",herbaceous vegetation,"shrub, overstory, understory",Agricultural,"45°27.282'N, 073°54.830'W","22°C, Sunny ",79,80,75,23,,,,,,
Lafontaine,AGR5-HIGH03,07/08/2022,"AT, LG, IR, MP","grass, bare soil, gravel path",overstory,Agricultural,,"22°C, Sunny",70,96,95,94,,,,,,
Lafontaine,AGR5-HIGH05,07/08/2022,"LG, AT, MP, IR","bare soil, grass, cement",overstory,Agricultural,,"22°C, Sunny",96,89,89,96,,,,,,
Lafontaine,AGR5-HIGH06,07/08/2022,"LG, AT, MP, IR","grass, gravel path",overstory,Agricultural,,"22°C, Sunny",78,95,92,89,google maps coordinates,,,,,
Lafontaine,AGR5-LOW03,07/08/2022,"AT, LG, IR, MP","grass, gravel, cement",overstory,Agricultural,,"22°C, Sunny",8,74,23,2,,,,,,
Lafontaine,AGR5-LOW04,07/08/2022,"LG, AT, IR, MP","grass, bare soil, cement",overstory,Agricultural,,"22°C, Sunny",96,0,24,80,,,,,,
Lafontaine,AGR5-LOW06,07/08/2022,"LG, AT, MP, IR","grass, bare soil",overstory,Agricultural,,"22°C, Sunny",0,16,5,0,google maps coordinates,,,,,
Lafontaine,AGR5-MED01,07/08/2022,"LG, AT, MP, IR","cement, grass",overstory,Agricultural,,"22°C, Sunny",6,84,92,21,,,,,,
Lafontaine,AGR5-MED04,07/08/2022,"LG, AT, MP, IR","cement, grass",overstory,Agricultural,,"22°C, Sunny",63,96,91,84,,,,,,
Lafontaine,AGR5-MED05,07/08/2022,"AT, LG, MP, IR","bare soil, cement, grass",overstory,Agricultural,,"22°C, Sunny",30,11,15,60,,,,,,
Marguerite-Bourgeoys,AGR6-HIGH01,06/28/2022,"EP,IR,LG","grass, cement path",overstory,Agricultural,"45°28.495'N, 073°33.609'W",24°Sunny,87,93,74,92,,,,,,
Marguerite-Bourgeoys,AGR6-HIGH02,06/28/2022,"EP, LG, IR","grass, gravel path",overstory,Agricultural,"45°28.530'N, 073°33.442'W","24°C, Sunny",86,94,96,42,,,,,,
Marguerite-Bourgeoys,AGR6-HIGH03,06/28/2022,"EP,IR,LG","grass, gravel path",overstory,Agricultural,"45°28.526'N, 073°33.618'W",24°Sunny,86,78,93,90,,,,,,
Marguerite-Bourgeoys,AGR6-LOW02,06/28/2022,"EP,IR,LG","grass, gravel path",overstory,Agricultural,"45°28.558'N,073°33.571'W",21°C sunny,33,37,4,54,,,,,,
Marguerite-Bourgeoys,AGR6-LOW04,06/28/2022,"IR, EP, LG ",gravel path,overstory,Agricultural,"45°28.529'N, 073°33.481'W","24°C, Sunny",21,92,40,16,,,,,,
Marguerite-Bourgeoys,AGR6-LOW06,06/28/2022,"EP, IR, LG",grass,overstory,Agricultural,"45°28.512'N, 073°33.504'W","24°C, Sunny",7,53,65,25,,,,,,
Marguerite-Bourgeoys,AGR6-MED02,06/28/2022,"EP,IR,LG","grass, gravel path",overstory,Agricultural,"45°28.445'N, 073°33.492'W","24°C, Sunny ",79,19,15,86,,,,,,
Marguerite-Bourgeoys,AGR6-MED03,06/28/2022,"EP,IR,LG","grass, gravel path",overstory,Agricultural,"45°28.511'N, 073°33.545'W",24°Sunny,91,72,93,96,,,,,,
Marguerite-Bourgeoys,AGR6-MED05,06/28/2022,"IR, LG, EP",grass,overstory,Agricultural,"45°28.482'N, 073°33.495'W","23°C, Sunny",87,58,56,93,,,,,,
Benny,AGR7-HIGH01,06/27/2022,"EP,IR,LG,MP","grass, cement",overstory,Agricultural,"45°27.989'N, 073°38.062'W","23°C, overcast",93,88,86,92,,,,,,
Benny,AGR7-HIGH02,06/27/2022,"EP,IR,LG,MP","leaf litter, grass, cement",overstory,Agricultural,"45°27.978'N, 073°38.015'W","23°C, overcast",96,96,96,96,,,,,,
Benny,AGR7-HIGH04,06/27/2022,"EP,IR,LG,MP","grass, cement path",overstory,Agricultural,"45°27.937'N, 073°37.957'W","24°C, overcast",96,95,70,96,,,,,,
Benny,AGR7-LOW03,06/27/2022,"EP,IR,LG,MP","grass, cement",overstory,Agricultural,"45°28.023'N, 073°37.955'W","23°C, overcast",66,0,12,78,,,,,,
Benny,AGR7-LOW04,06/27/2022,"EP,IR,LG,MP","grass, cement",overstory,Agricultural,"45°28.048'N, 073°38.003'W","24°C, overcast",3,0,30,57,,,,,,
Benny,AGR7-LOW05,06/27/2022,"EP,IR,LG,MP","grass, gravel path",overstory,Agricultural,"45°27.985'N, 073°37.978'W","23°C, overcast",4,0,0,0,,,,,,
Benny,AGR7-MED02,06/27/2022,"EP,IR,LG,MP","grass, cement path",overstory,Agricultural,"45°27.989'N, 073°37.896'W","24°C, overcast",50,24,25,70,,,,,,
Benny,AGR7-MED03,06/27/2022,"EP,IR,LG,MP",grass,overstory,Agricultural,"45°27.959'N, 073°37.982'W","23°C, overcast",1,36,78,87,,,,,,
Benny,AGR7-MED04,06/27/2022,"EP,IR,LG,MP","leaf litter, grass, concrete",overstory,Agricultural,"45°27.942'N, 073°37.920'W","23°C, overcast",96,95,76,96,,,,,,
Centennial,AGR8-HIGH01,06/27/2022,"EP,LG,IR","cement, grass, bare dirt",overstory,Agricultural,,"24°C, sunny",92,78,95,93,,,,,,
Centennial,AGR8-HIGH04,06/27/2022,"EP,LG,IR","leaf litter, grass","shrub, overstory, understory",Agricultural,,"24°C, sunny",96,96,96,96,,,,,,
Centennial,AGR8-HIGH05,06/27/2022,"EP,LG,IR","grass, gravel path","overstory, understory",Agricultural,,"24°C, sunny",54,29,66,29,,,,,,
Centennial,AGR8-LOW01,06/27/2022,"EP,LG,IR","grass, dirt path",overstory,Agricultural,,"24°C, sunny",11,76,34,33,,,,,,
Centennial,AGR8-LOW03,06/27/2022,"EP,LG,IR",grass,overstory,Agricultural,,"24°C, sunny",69,18,10,15,,,,,,
Centennial,AGR8-MED02,06/27/2022,"EP,LG,IR","cement, grass","overstory, understory",Agricultural,,"24°C, sunny",85,96,36,96,,,,,,
Centennial,AGR8-MED04,06/27/2022,"EP,LG,IR",grass,"overstory, understory",Agricultural,,"24°C, sunny",96,41,37,92,,,,,,
Centennial,AGR8-MED05,06/27/2022,"EP,LG,IR",grass,overstory,Agricultural,,"24°C, sunny",96,56,92,90,,,,,,
Fritz,AGR9-HIGH03,06/21/2022,"EP,GG,IR,MP","mulch, grass",overstory,Agricultural,"45°24.547'N, 073°55.106'W","18°C, overcast",96,75,84,96,,,,,,
Fritz,AGR9-HIGH04,06/21/2022,"EP,GG,IR,MP","mulch, grass",overstory,Agricultural,"45°24.572'N, 073°55.119'W","18°C, overcast",93,95,96,83,,,,,,
Fritz,AGR9-HIGH05,06/21/2022,"EP,GG,IR,MP","grass, road, cement path",overstory,Agricultural,"45°24.488'N, 073°55.198'W","18°C, sunny ",20,94,93,45,,,,,,
Fritz,AGR9-LOW03,06/21/2022,"EP,GG,IR,MP","grass, bare soil","shrub, overstory",Agricultural,"45°24.344'N, 073°55.277'W","18°C, raining",54,4,88,0,,,,,,
Fritz,AGR9-LOW05,06/21/2022,"EP,GG,IR,MP","grass, bare soil","shrub, overstory",Agricultural,"45°24.528'N, 073°55.207'W","18°C, overcast",22,29,72,8,,,,,,
Fritz,AGR9-LOW06,06/21/2022,"EP,GG,IR,MP",grass,overstory,Agricultural,"45°24.597'N, 073°55.129'W","18°C, overcast",5,33,1,0,,,,,,
Fritz,AGR9-MED05,06/21/2022,"EP,GG,IR,MP","grass, road, paved path",overstory,Agricultural,"45°24.496'N, 073°55.131'W","18°C, overcast",42,17,92,79,,,,,,
Fritz,AGR9-MED06,06/21/2022,"EP,GG,IR,MP","grass, road, cement path",overstory,Agricultural,"45°24.467'N, 073°55.209'W","18°C, sunny ",94,34,87,84,,,,,,
Fritz,AGR9-MED07,06/21/2022,"EP,GG,IR,MP",grass,overstory,Agricultural,"45°24.556'N, 073°55.217'W","18°C, raining",90,8,24,4,,,,,,
Angrignon,FOR1-HIGH01,08/09/2022,"EP, LG, IR","bare soil, leaf litter, herbaceous vegetation","shrub, overstory, understory",Forested ,"45°26.475'N, 073°36.222'W","16°C, Overcast ",94,94,92,91,,45,1927,95,N,3
Angrignon,FOR1-HIGH03,08/09/2022,"EP, LG, IR","Bare soil, leaf litter, dirt path ","shrub, overstory, understory",Forested,"45°26.427'N, 073°36.637'W","16°C, Overcast ",90,91,90,93,,45,1927,95,N,3
Angrignon,FOR1-HIGH04,08/09/2022,"EP, LG, IR","Herbaceous vegetation, bare soil, leaf litter ","shrub, overstory, understory",Forested,"45°26.348'N, 073°36.291'W","16°C, Overcast",93,95,91,92,,45,1927,95,N,3
Angrignon,FOR1-LOW01,08/09/2022,"EP, LG, IR","Grass, gravel path, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°26.538'W, 073°36.363'W","16°C, Overcast ",34,10,32,70,,45,1927,95,N,3
Angrignon,FOR1-LOW02,08/09/2022,"EP, LG, IR ","Grass, cement path, bare soil ",overstory,Forested ,"45°26.514'N, 073°36.627'W","16°C, Overcast",82,0,0,45,,45,1927,95,N,1
Angrignon,FOR1-LOW05,08/09/2022,"EP, LG, IR","Grass, gravel path, mulch",overstory,Forested ,"45°26.487'N, 073°35.880'W","16°C, Overcast ",80,13,42,46,,45,1927,95,N,1
Angrignon,FOR1-MED01,08/09/2022,"EP, LG, IR","Grass, herbaceous vegetation","shrub, overstory, understory",Forested ,"45°26.394'N, 073°36.082'W","16°C, Overcast ",81,62,59,74,,45,1927,95,N,3
Angrignon,FOR1-MED02,08/09/2022,"EP, LG, IR","Grass, herbaceous vegetation, gravel path ","shrub, overstory, understory",Forested ,"45°26.390'N, 073°36.019'W","16°C, Overcast ",89,83,83,82,,45,1927,95,N,3
Angrignon,FOR1-MED05,08/09/2022,"EP, LG, IR","Grass, cement path, bare soil ",overstory,Forested ,"45°26.451'N, 073°36.510'W","16°C, Overcast ",92,42,66,67,No tree sin mini plots,45,1927,95,N,1
Pointe-aux-Prairies,FOR10-HIGH02,07/13/2022,"MP, LG, AT, GG, EP","Herbaceous vegetation, leaf litter","overstory, understory",Forested,"45°40.444'N, 073°30.366'W","22°C, Sunny ",90,91,95,93,,15.25,1992,30,Y,2
Pointe-aux-Prairies,FOR10-HIGH04,07/13/2022,"MP, LG, AT, GG, EP","Leaf litter, herbaceous vegetation","overstory, understory",Forested ,"45°40.474'N, 073°30.369'W","23°C, Sunny ",94,95,96,90,,15.25,1992,30,Y,2
Pointe-aux-Prairies,FOR10-HIGH05,07/13/2022,"MP, LG, AT, GG, EP","leaf litter, herbaceous vegetation ","overstory, understory",Forested ,,"26°C, Sunny ",88,93,93,96,,15.25,1992,30,Y,2
Pointe-aux-Prairies,FOR10-MED01,07/13/2022,"EP, IR, LG","Leaf litter, herbaceous vegetation","shrub, overstory, understory",Forested,"45°40.343'N, 073°30.376'W","26°C, Sunny",89,77,83,84,,15.25,1992,30,Y,3
Pointe-aux-Prairies,FOR10-MED03,07/13/2022,"MP, LG, AT, GG, EP","Leaf litter, herbaceous vegetation ","overstory, understory",Forested ,"45°40.541'N, 073°30.335'W","26°C, partly couldy ",79,84,90,90,"Plot smaller, 10 m east and 15m west. Due to fence and phragmites ",15.25,1992,30,Y,2
Pointe-aux-Prairies,FOR10-MED05,07/18/2022,"LG, EP, IR","dirt path, herbaceous vegetation, leaf litter","shrub, overstory, understory",Forested ,,"22°C, Sunny ",91,89,94,91,,15.25,1992,30,Y,3
Thomas-Chapais,FOR11-HIGH01,08/08/2022,"IR, EP, LG ","dirt path, leaf litter, bare soil ","shrub, overstory, understory",Forested ,"45°36.479'N, 073°32.269'W","15°C, Raining ",92,93,92,89,,16,1960,62,N,3
Thomas-Chapais,FOR11-HIGH02,08/08/2022,"EP, IR, LG","Gravel path, leaf litter, bare soil ","shrub, overstory, understory",Forested,"45°36.426'N, 073°32.262","15°C, Overcast/raining",92,94,93,93,,16,1960,62,N,3
Thomas-Chapais,FOR11-HIGH06,08/08/2022,"EP, IR, LG","Bare soil, dirt path, leaf litter","shrub, overstory, understory",Forested ,"45°36.516'N, 073°32.407'W","15°C, Raining ",89,91,93,93,,16,1960,62,N,3
Thomas-Chapais,FOR11-LOW01,08/08/2022,"EP, IR, LG","Grass, gravel path",overstory,Forested ,"45°36.481'N, 073°32.064'W","16°C, Raining ",0,11,17,27,,16,1960,62,N,1
Thomas-Chapais,FOR11-LOW04,08/08/2022,"IR, EP, LG ",Grass,overstory,Forested ,"45°36.498'N, 073°32.031'W","15°C, Raining ",26,6,45,0,,16,1960,62,N,1
Thomas-Chapais,FOR11-LOW06 ,08/08/2022,"EP, IR, LG","Grass, gravel path ",overstory,Forested ,"45°36.516'N, 073°32.164°W","16°C, Raining ",4,73,7,9,,16,1960,62,N,1
Thomas-Chapais,FOR11-MED03,08/08/2022,"EP, IR, LG","gravel path, grass, herbaceous vegetation, leaf litter","shrub, overstory, understory",Forested ,"45°36.531'N, 073°32.243'W","15°C, Raining ",91,61,70,75,,16,1960,62,N,3
Thomas-Chapais,FOR11-MED04,08/08/2022,"EP, IR, LG","Grass, herbaceous vegetation, leaf litter","shrub, overstory, understory",Forested ,"45°36.571'N, 073°32.434'W","15°C, Raining ",13,75,11,84,,16,1960,62,N,3
Thomas-Chapais,FOR11-MED05,08/08/2022,"EP, IR, LG","Grass, gravel path, herbaceous vegetation ",overstory,Forested ,"45°36.466'N, 073°32.025'W","16°C, raining ",56,47,8,56,,16,1960,62,N,1
Bois-de-Liesse,FOR2-HIGH01,08/03/2022,"EP, IR, LG","Herbaceous vegetation, bare soil, leaf litter ",,Forested ,"45°29.929'N, 073°46.298'W","20°C, Sunny ",91,95,90,93,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-HIGH03,08/03/2022,"EP, IR, LG","Leaf litter, bare soil, herbaceous vegetation ","shrub, overstory, understory",Forested ,"45°29.737'N, 073°46.444'W","19°C, Sunny ",91,94,94,92,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-HIGH06,08/03/2022,"EP, IR, LG","Herbaceous vegetation, bare soil, leaf litter ","shrub, overstory, understory",Forested ,"45°29.815'N, 073°46.367'W","19°C, Sunny ",93,94,93,92,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-LOW01,08/03/2022,"EP, IR, LG","herbaceous vegetation, leaf litter, dirt path ","shrub, overstory, understory",Forested ,"45°20.227'N, 073°45.698'W","23°C, Sunny ",90,94,70,70,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-LOW02,08/03/2022,"EP, IR, LG","gravel path, herbaceous vegetation","shrub, overstory, understory",Forested ,"45°30.147'N, 073°45.917'W","22°C, Sunny ",56,63,50,62,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-LOW04,08/03/2022,"EP,IR,LG","gravel path, herbaceous vegetation, leaf litter ","shrub, overstory, understory",Forested ,"45°30.128'N, 073°45.765'W","22°C, Sunny ",0,8,0,63,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-MED01,08/03/2022,"EP,IR,LG","leaf litter, herbaceous vegetation, gravel path","shrub, overstory, understory",Forested ,"45°29.983'N, 073°45.943'W","23°C, Sunny ",17,93,83,0,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-MED03,08/03/2022,"EP, IR, LG","gravel path, grass, herbaceous vegetation, leaf litter","shrub, overstory, understory",Forested ,"45°30.054'N, 073°46.199'W","22°C, Sunny ",24,28,23,19,,200,1987,35,Y,3
Bois-de-Liesse,FOR2-MED04,08/03/2022,"EP, IR, LG","gravel path, herbaceous vegetation, leaf litter ","shrub, overstory, understory",Forested,"45°29.991'N, 073°46.003'W","22°C, Sunny",94,76,96,88,,200,1987,35,Y,3
Bois-de-Saraguay,FOR3-HIGH01,08/04/2022,"IR,EP,LG","leaf litter, bare soil, berbaceous vegetation","shrub, overstory, understory",Forested ,"45°31.018'N, 073°44.436'W","23°C, Overcast ",93,94,94,94,,86,1987,35,Y,3
Bois-de-Saraguay,FOR3-HIGH03,08/04/2022,"IR,EP,LG","Leaf litter, herbaceous vegetation, gravel path, bare soil","shrub, overstory, understory",Forested ,"45°30.950'N, 073°44.046'W","23°C, Overcast/raining",84,93,94,92,,86,1987,35,Y,3
Bois-de-Saraguay,FOR3-HIGH06,08/04/2022,"IR,EP,LG","Leaf litter, herbaceous vegetation","shrub, overstory, understory",Forested ,"45°30.993'N, 073°44.016'W","23°C, Overcast ",94,90,93,91,,86,1987,35,Y,3
